question,document
I found this course late — can I still enroll and follow along?,74eb249bbf
Is it too late to join the course if I only discovered it now?,74eb249bbf
Can I start the course after it has already begun?,74eb249bbf
"If I join late, am I still eligible for the certificate?",74eb249bbf
What do I need to do to get a certificate if I’m joining the course now?,74eb249bbf
"I signed up for the LLM Zoomcamp, but I still didn’t get any confirmation email — is that normal?",977bf7786c
Do I actually need a confirmation email before I can start the course and submit homework?,977bf7786c
"If I registered for the LLM Zoomcamp, does that mean I’m officially accepted already?",977bf7786c
"Is registration mandatory for the course, or can I just begin the lessons and turn in homework while the form is open?",977bf7786c
Does the course check whether I’m on some registered list before letting me submit assignments?,977bf7786c
"Where can I watch the Office Hours or live workshop sessions if I’m a student, since I don’t get the Zoom link?",489dd1c9d9
How do students join the live sessions and ask questions during Office Hours without access to the private meeting link?,489dd1c9d9
"Is the stream link for workshops shared somewhere before the session starts, and where should I look for it?",489dd1c9d9
"Can I find the live video for Office Hours on YouTube or in the course announcements, and where exactly is it posted?",489dd1c9d9
What’s the best way for students to submit questions during a live session instead of typing them in chat?,489dd1c9d9
Where should I begin if I’m joining the LLM Zoomcamp and want to know the right order to follow each week?,04919992b3
"Do I need to wait for a specific start date, or can I just begin the course anytime and check the deadlines somewhere?",04919992b3
"What’s the usual weekly process in this course—do you watch the lecture first, then do the notebook, then the homework?",04919992b3
"Besides the videos, which course pages or repos should I be looking at to keep up with the materials and assignments?",04919992b3
"Is the homework basically the same as the lesson exercises, or does it usually change the data/task a bit?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name right away?,c2903069a0
"Why does the leaderboard show a random name instead of my real one, and can I change it?",c2903069a0
Where can I see the display name I’m using for the course leaderboard?,c2903069a0
How do I make sure my certificate shows my real name instead of the default nickname?,c2903069a0
What’s the difference between the nickname on my profile and the official name used for the certificate?,c2903069a0
"Can I take this course at my own pace and still get a certificate, or is that not allowed?",69d122f12e
"If I go through the materials later on my own, do I get a certificate at the end?",69d122f12e
Why don’t you give certificates for the self-paced version of the course?,69d122f12e
Do I have to be in a live cohort to earn the course certificate?,69d122f12e
"Is the peer-review part required for the certificate, and can it be done after the course is over?",69d122f12e
Can I still get the certificate if I skipped the first homework?,9f689c185f
Do I have to do every homework to receive the course certificate?,9f689c185f
Is the certificate based on homework completion or the Capstone project?,9f689c185f
What do I need to pass in order to get the certificate for this course?,9f689c185f
"Are homework points required for the certificate, or only for the leaderboard?",9f689c185f
Why does the homework keep changing before it’s released?,96286b4be4
How can I tell if a homework assignment is already final and ready?,96286b4be4
What does the [DRAFT] label in a homework title mean?,96286b4be4
Can I start doing the homework early if it still says draft?,96286b4be4
When is it safe to assume the homework won’t be changed anymore?,96286b4be4
When is the next time this course will be available?,bd31146b0e
Do you know which term this course runs again?,bd31146b0e
What’s the next offering date for the course?,bd31146b0e
Is the course coming back in Summer 2027?,bd31146b0e
When can I enroll in this course next?,bd31146b0e
Where can I find the lecture videos for LLM Zoomcamp?,31456f4b5f
Is there a main place to start if I want the course videos and materials?,31456f4b5f
"Do the lesson pages include links to the videos, and where are they shown?",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the lectures?,31456f4b5f
I'm looking for the recordings—what's the best way to find the right lesson video?,31456f4b5f
"Where do I check the LLM Zoomcamp syllabus, homework deadlines, and my progress in the course?",20c5a1347e
Is there one place to follow the current LLM Zoomcamp cohort structure and assignments?,20c5a1347e
How can I keep track of all the deadlines and homework for LLM Zoomcamp?,20c5a1347e
What platform should I use to see the LLM Zoomcamp progress tracking and course schedule?,20c5a1347e
"Does LLM Zoomcamp have a course management site for syllabus, homework, and deadlines?",20c5a1347e
"Do we get live sessions or office hours for every module, or is it all pre-recorded stuff in the repo?",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help instead of waiting for a module live session?",d65e05bd7a
"Are any live meetings announced separately during the course, and how do I find out about them?",d65e05bd7a
Is there some optional paid community with regular Zoom office hours if I want extra support?,d65e05bd7a
"Does the free course include any built-in office hours, or do I need to rely on Slack and the course materials?",d65e05bd7a
Can I count a Bluesky post toward my learning in public credits?,dbf5369006
Is Bluesky accepted for earning learning in public credit in this course?,dbf5369006
"If I share something on Bluesky, does that qualify for learning in public credits?",dbf5369006
Do Bluesky updates work for the learning in public requirement?,dbf5369006
Can I use a Bluesky post as proof for learning in public credits?,dbf5369006
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f
"Is there a Telegram group for LLM Zoomcamp, and what is it used for?",054f3fd58f
Where do I find the official LLM Zoomcamp Telegram channel?,054f3fd58f
Should I ask course announcements in Telegram or Slack?,054f3fd58f
"If I have technical questions for LLM Zoomcamp, where should I post them?",054f3fd58f
Why does my FAQ dataset have a different number of records than the one shown in the videos?,e2d595f23c
Is it normal if the FAQ data count changes when I run the code now?,e2d595f23c
Why are there more or fewer FAQ entries than in the course video?,e2d595f23c
Did the FAQ dataset get updated after the videos were recorded?,e2d595f23c
Why doesn't the dataset size match what the instructor shows on screen?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe
"The deadline is over, but the submission page still lets me submit — is that okay?",a9353fadfe
Does a late homework count as long as the form hasn’t been closed yet?,a9353fadfe
"If the deadline passed yesterday but the form is still available, can I submit my answers now?",a9353fadfe
When is homework submission actually no longer possible: at the deadline or only after the form closes?,a9353fadfe
"Can I still turn in homework after the deadline has passed, or is the form closed for good?",cdc3b285e5
Do you ever give deadline extensions for homework if someone misses the cutoff?,cdc3b285e5
"If I miss one homework, does that stop me from getting the certificate?",cdc3b285e5
"Are homework assignments required to pass the course, or is only the Capstone mandatory?",cdc3b285e5
Do late homework submissions still count toward the leaderboard or ranking?,cdc3b285e5
"Will the name I enter for the certificate stay private, or can other people see it online?",651ba06b34
"Is the certificate name used on the public leaderboard, or is that a different display name?",651ba06b34
"If I put my real name in the certificate field, will it be shared with anyone outside the course?",651ba06b34
Where do I change the name shown on the leaderboard versus the one printed on my certificate?,651ba06b34
Can I keep my real name off the public profile but still have it on the certificate?,651ba06b34
Why don't we use LangChain in the course?,b7cdde6b25
What's the reason for building the RAG pieces by hand first instead of using a framework?,b7cdde6b25
"Is LangChain covered at all, or are we expected to work without it?",b7cdde6b25
"Why do we learn prompting, retrieval, indexing, and evaluation manually before any tools?",b7cdde6b25
What’s the point of not starting with LangChain if it can build LLM apps faster?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
"What does the ""OpenAI API Error: Insufficient credits"" message mean in `responses.create`?",f5df151c59
I keep seeing an insufficient credits error with OpenAI responses API — is my account out of balance?,f5df151c59
How can I fix the error from `OpenAI responses.create` that says I don't have enough credits?,f5df151c59
Is there a reason `responses.create` fails with an insufficient credits message in OpenAI?,f5df151c59
"Why am I getting RateLimitError 429 from OpenAI, and is it actually a quota problem?",152af39a53
How do I fix the insufficient_quota error when calling the OpenAI API in this RAG assignment?,152af39a53
"Do I need to add money to my OpenAI account before the API works, and how much is the minimum?",152af39a53
Which model should I use in `responses.create(...)` if the one in my code is not allowed for my account?,152af39a53
"After adding credits, do I have to generate a new API key for the request to work again?",152af39a53
How much money do I actually need to spend to use the OpenAI API for this course?,554d0eb78b
Do I need to add a lot of credit before I can start using the OpenAI API?,554d0eb78b
What is the minimum recharge amount for OpenAI API usage in the course?,554d0eb78b
"Is OpenAI API usage expensive for the course, or is it usually very cheap?",554d0eb78b
Will I have to pay more than a few cents to follow the OpenAI API exercises?,554d0eb78b
"Do I need to pay for the OpenAI API to finish the course homework, or are there free options I can use instead?",85384a18e5
"For the RAG module, is an OpenAI subscription required, or can I use a cheaper alternative from the course repo?",85384a18e5
"If I don't want to spend money on OpenAI, what free or low-cost API alternatives does the course recommend?",85384a18e5
"Can I complete the assignments without buying OpenAI API credits, and where can I find other providers?",85384a18e5
"Is there a list of OpenAI API replacements for this course, so I can avoid paying for the service?",85384a18e5
Why does the course use uv instead of just pip and virtualenv for Python setup?,f81dea8f7e
"What makes uv better or easier than the usual Python tools like pip, poetry, and pyenv?",f81dea8f7e
"Do I have to use uv in this course, or can I still set things up with pip and virtualenv?",f81dea8f7e
How does uv handle dependencies and virtual environments compared with using several separate tools?,f81dea8f7e
"Is uv mainly chosen because it is faster, or does it also make the workflow simpler for the labs?",f81dea8f7e
Why does my Jupyter notebook say OPENAI_API_KEY is missing even though I put it in a .env file?,86d99bbf21
Do I need python-dotenv for the OpenAI key to show up in notebooks?,86d99bbf21
