question,answer_llm,answer_orig,document
I found this course late — can I still enroll and follow along?,"Yes, you can still join and follow along.

If you want a certificate, though, you must submit your project while the course is still accepting submissions, and certificates are only available for the live cohort—not self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it too late to join the course if I only discovered it now?,"Yes, you can still join the course if you just discovered it now. If you want a certificate, you need to submit your project while the course is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I start the course after it has already begun?,"Yes — you can start the course whenever you want. The videos and GitHub materials are available, and the deadlines are listed on the course management platform.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join late, am I still eligible for the certificate?","Yes, but only if you finish with a live cohort and submit your project while submissions are still open. Certificates are not available in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to get a certificate if I’m joining the course now?,"If you’re joining now, you can still get a certificate, but only if you:

- finish the course with the live cohort, and
- submit your capstone project while submissions are still open.

You don’t need to do the homework to get the certificate, but you do need to pass the capstone project.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for the LLM Zoomcamp, but I still didn’t get any confirmation email — is that normal?","No, that’s normal. You don’t need a confirmation email — you’re accepted already. You can start learning and submitting homework while the form is open, and registration is only used to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need a confirmation email before I can start the course and submit homework?,"No. You don’t need to wait for a confirmation email — you’re accepted, and you can start the course and submit homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I registered for the LLM Zoomcamp, does that mean I’m officially accepted already?","Yes — registering does **not** mean you’re waiting for approval. According to the course info, **you’re accepted already**. The registration is mainly just to gauge interest, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is registration mandatory for the course, or can I just begin the lessons and turn in homework while the form is open?","Yes — registration is **not mandatory**. You can **start the lessons and submit homework while the form is open** without registering. Registration is mainly used to gauge interest, and it’s not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Does the course check whether I’m on some registered list before letting me submit assignments?,"No. The course does **not** check against a registered list before letting you submit homework. You can start learning and submitting assignments while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
